player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Timothe Luwawu-Cabarrot,luwawti01,2022,1515,707,-1.653257600890367,-.9268195001379084,-2.580077101028275,-3.505171374689906,-1.094780432363502,-4.599951807053408,-2.185085984092232,-.9953607064930887,-3.18044669058532,-.1562725691681373,-.1104826349315514,-.0457899342365859,-2.440546079407487,-1.526192746295569,-3.966738825703056,.3495589703440859
Trey Lyles,lylestr01,2022,3228,1537,-.606568318633769,-1.439879474346405,-2.046447792980175,-.119019864859033,-1.77665945148297,-1.895679316342002,-.472106622697179,-1.557839379697282,-2.029946002394461,.5624996211600988,.5624996211600988,0,-.7078375773849669,-1.768196829926862,-2.476034407311829,.1126001606433801
Theo Maledon,maledth01,2022,1901,908,-3.133802474386647,-.6513409738549545,-3.785143448241601,-2.259549727900581,-3.089380373540449,-5.348930101441031,-3.026171766134322,-1.178787451275954,-4.204959217410276,-.6750853784666697,-.6750853784666697,0,-3.334096115416793,-1.096216050804651,-4.430312166221444,.1570670431307344
Sandro Mamukelashvili,mamuksa01,2022,852,407,-.5603951834823835,-6.915999286674834,-7.476394470157219,-5.641020882291539,-6.143808310849725,-11.78482919314126,-1.672366659250522,-7.169381973345081,-8.841748632595603,-1.260178543515863,-1.260178543515863,0,-1.605228135704643,-6.907111770819659,-8.512339906524304,-.3780139487518738
Terance Mann,mannte01,2022,4771,2317,-.291066491663887,.2064490015597286,-.0846174901041585,.4333556222244663,2.30820960354577,2.741565225770236,-.1361688357903123,.631683643399939,.4955148076096266,3.802551418678467,3.802551418678467,0,-.6774115506717525,1.005833480084838,.3284219294130858,-.8883056466987314
Tre Mann,manntr01,2022,2862,1367,-2.031082621708107,-1.31890980656053,-3.349992428268637,-2.99242955259435,-1.516190364690682,-4.508619917285032,-2.233978876758637,-1.431717470858871,-3.665696347617508,-.6372603467538858,-.6372603467538858,0,-3.173830241582037,-1.574120619262417,-4.747950860844454,-.2170320130163315
Boban Marjanovic,marjabo01,2022,280,134,-4.064665667898871,-1.234597990224396,-5.299263658123267,-3.232148985032048,5.934645737792448,2.7024967527604,-4.183339354223216,.1096351200283124,-4.073704234194903,-.0821635120649047,.0119355942281769,-.0940991062930816,-4.259177162829504,-.5836041320407739,-4.842781294870278,.558925029422417
Lauri Markkanen,markkla01,2022,3823,1878,.8568876431429615,-.508902273476568,.3479853696663935,4.391629035634879,-2.307722602735181,2.083906432899698,1.652805077753073,-.9562894679161766,.6965156098368961,3.297793890883547,3.297793890883547,0,1.21660091111863,-.083012866311214,1.133588044807416,-.1364041085533214
Naji Marshall,marshna01,2022,1681,791,-.8232915151520859,.6198647612188734,-.2034267539332125,-3.361430857838148,.887701521340382,-2.473729336497765,-1.406021781091931,.7279505888407869,-.6780711922511437,.8491931369072327,.5998687282420274,.2493244086652054,-1.634844255921504,-.2948904941518097,-1.929734750073313,.8384743366584735
Caleb Martin,martica02,2022,3190,1554,-.8133610781893862,3.010782257362185,2.197421179172799,1.437119767697852,.3300755579036562,1.767195325601508,-.4248402856438515,2.572751881546301,2.14791159590245,3.873828042494499,3.686560912187214,.1872671303072842,-.4487414068716467,2.557254057905664,2.108512651034017,-.1776726101605257
Cody Martin,martico01,2022,3908,1866,.0686070056022071,1.511916910696051,1.580523916298259,1.33158322187201,-1.775780476049945,-.4441972541779349,.3176270479683019,.9409635008397093,1.258590548808011,3.786523047206841,3.786523047206841,0,.6995417599453013,1.423804405994791,2.123346165940092,-.7805730005742909
Kelan Martin,martike03,2022,920,450,-2.097689341495391,-.598829604901099,-2.69651894639649,-4.043163275296694,.4176588860560383,-3.625504389240655,-2.646799376045349,-.3907890243391928,-3.037588400384541,-.065482481275948,-.065482481275948,0,-1.785118627011384,-1.183447078623535,-2.968565705634919,-.4280762416326439
Kenyon Martin Jr.,martike04,2022,3533,1656,-.5932488612329925,-2.825793110423798,-3.419041971656791,1.197605773893009,-2.316273616745857,-1.118667842852848,-.2171576465915455,-2.816206670760189,-3.033364317351734,-.2384189116176905,-.2384189116176905,0,-1.146321099821805,-4.124209534695471,-5.270530634517277,-.4148225396030557
Garrison Mathews,mathega01,2022,3655,1712,.5410303984087759,3.017455385234346,3.558485783643122,2.878636918579324,-3.401169730920386,-.522532812341062,1.08457424976193,1.939129443974702,3.023703693736632,5.068592538171564,5.068592538171564,0,.7138192061571544,1.372124038108788,2.085943244265943,.5052471341206347
Dakota Mathias,mathida01,2022,36,16,-.4566949412069285,-5.355211821130708,-5.811906762337637,-23.82688746172937,5.999552125985034,-17.82733533574434,-5.405331560230789,-3.364864815226484,-8.770196375457273,-.0495923815448907,-.0495923815448907,0,-3.019254380915288,-3.256336472513225,-6.275590853428513,.9122715892647604
Wesley Matthews,matthwe02,2022,2869,1347,-1.637702097077725,2.832164306369611,1.194462209291887,.7726568458119857,3.013612926981946,3.786269772793932,-1.253243740338887,3.000479865989353,1.747236125650465,3.1358505128322,1.892353552287096,1.243496960545104,-1.878762419457106,2.30288947205496,.4241270525978545,-.0462729604298891
Tyrese Maxey,maxeyty01,2022,6301,3135,1.509045088429717,-1.864838675407985,-.3557935869782675,.1847897968223696,.3716040270072078,.5563938238295775,1.298040707503141,-1.520068654947386,-.2220279474442451,4.019535801045057,3.311272645804751,.7082631552403064,1.018034455071953,-.8815703978400262,.1364640572319267,-1.217206521738137
Skylar Mays,mayssk01,2022,476,229,-1.413157681704563,-2.503794312205772,-3.916951993910334,-1.673744379901699,-4.36050126279215,-6.034245642693848,-1.591571616449861,-3.020599903430601,-4.612171519880461,-.2208529210722582,-.2832292568249204,.0623763357526622,-1.829949379262654,-3.452665425094306,-5.282614804356959,-1.042529509834291
Miles McBride,mcbrimi01,2022,754,372,-2.249953398568514,.7601030968744353,-1.489850301694079,2.426530399234319,4.23620770429751,6.66273810353183,-1.423899738160655,1.496090544586681,.0721908064260253,.5298695826930201,.5298695826930201,0,-1.905339692000226,1.327593783886741,-.577745908113485,-1.076588113193516
Mac McClung,mccluma01,2022,56,25,-5.800598732164326,-7.401350722409929,-13.20194945457426,.3776530225699317,7.698901936054083,8.076554958624016,-4.85622500255291,-4.693977248053537,-9.550202250606446,-.0823558067034837,-.0823558067034837,0,-4.123215273088539,-1.97239377971097,-6.095609052799509,2.415631765920572
CJ McCollum,mccolcj01,2022,4893,2379,3.09236528498043,-.2255024996574404,2.86686278532299,2.08325797827729,-2.033996366068959,.0492616122083303,3.111130250839611,-.5764241032900733,2.534706147549537,6.421269123873373,5.779572503000107,.641696620873266,2.942941282451355,-.5024129584503577,2.440528324000997,-.1349636729972434
T.J. McConnell,mccontj01,2022,1378,652,-.0392577995438813,.9666262042639143,.9273684047200331,-1.632536980086053,-.0566399806725709,-1.689176960758624,-.3755457123745244,.851921650539913,.4763759381653885,1.069352288594604,1.069352288594604,0,-.597822608729364,.6757935240839343,.0779709153545703,-.3636665027434042
Jalen McDaniels,mcdanja01,2022,1882,895,-1.079831519875758,.3005526074567771,-.7792789124189804,-.3707881250848237,1.356695439697899,.9859073146130755,-1.02327527917526,.5776051173475261,-.4456701618277339,1.048646226520652,1.048646226520652,0,-.4244532710465469,.2651505109404572,-.1593027601060897,-.3400137639462094
Jaden McDaniels,mcdanja02,2022,4138,1933,-1.955329616920639,1.702866102131136,-.2524635147895036,-2.723512154276505,2.243405148416155,-.4801070058603502,-2.261717935012325,1.907803731325122,-.3539142036872027,2.390577890546836,1.789330574867953,.6012473156788827,-1.75510609875568,1.62449415713206,-.1306119416236204,.6476636265872436
Doug McDermott,mcderdo01,2022,2612,1223,-.4459935103879839,-4.177498832644824,-4.623492343032808,1.271268287435562,-4.64195285594201,-3.370684568506448,-.1174335021335269,-4.54481192054653,-4.662245422680057,-1.198483774098418,-1.198483774098418,0,-.3131328203568176,-4.69104504791103,-5.004177868267847,.4434618001772131
JaVale McGee,mcgeeja01,2022,2762,1305,.5024531293161311,2.263827360465152,2.766280489781283,-1.859362412717218,-.2133019737858936,-2.072664386503112,-.016267818116974,1.785566742322619,1.769298924205645,3.02059962568646,2.918152065052498,.1024475606339617,-.3851232263622457,1.68729857747938,1.302175351117134,.5718512131153926
Cameron McGriff,mcgrica01,2022,94,46,4.897731939969395,-4.975890743202334,-.078158803232939,9.09345134786936,1.12861042153046,10.22206176939982,6.155775904200904,-3.87965662070508,2.276119283495823,.1169927743323279,.1169927743323279,0,3.144031016657827,-5.325028348420966,-2.180997331763138,-.819142330719295
Rodney McGruder,mcgruro01,2022,1595,754,-.1952181664460332,-1.303987178813004,-1.499205345259037,-.1882880455923582,1.856306006053757,1.668017960461398,-.150330202736574,-.676419931651832,-.8267501343884061,.7388462117347097,.7388462117347097,0,-1.457836042158879,-1.319711439654969,-2.777547481813849,-.1365598096522612
Alfonzo McKinnie,mckinal01,2022,418,206,-3.987011893684041,-7.47567788856422,-11.46268978224826,-.279711970345577,-7.579376265431076,-7.859088235776652,-3.460067775772581,-7.937416526916567,-11.39748430268915,-.901141828451878,-.901141828451878,0,-3.379783158856169,-7.066798056768643,-10.44658121562481,-.8493455558186006
JaQuori McLaughlin,mclauja01,2022,26,11,-1.059439799787297,-4.282832417417639,-5.342272217204936,-9.161580596033909,-9.772123801740262,-18.93370439777417,-2.859964213249487,-5.736265643869272,-8.596229857118759,-.0324618775460003,-.0324618775460003,0,-3.205003140105868,-6.024794176804431,-9.229797316910298,-1.061692821160948
Jordan McLaughlin,mclaujo01,2022,2165,985,.5634129969240113,-.3701213933009785,.1932916036230328,.717120928881721,.1909133116557696,.9080342405374905,.606544006789913,-.2827542546313051,.3237897521586079,1.553379938402061,1.22346809097115,.3299118474309108,.2454453659196099,.136579517091875,.382024883011485,.023662549782543
Ben McLemore,mclembe01,2022,2697,1285,-.7586414460580095,-3.779065439031664,-4.537706885089674,-4.792045682664156,-.5355198374991543,-5.327565520163311,-1.58553688201047,-3.270174981582251,-4.855711863592721,-1.388288813885153,-1.388288813885153,0,-1.024775888241532,-3.994057240602407,-5.018833128843939,.5628025898406878
De'Anthony Melton,meltode01,2022,3956,1827,.376342606570957,1.670016938319225,2.046359544890181,-.4653665423997307,2.704023907545503,2.238657365145773,.1785372159444645,1.941474835584443,2.120012051528908,4.606839087607946,4.704269359871787,-.0974302722638412,1.176580333096051,2.60348506543457,3.780065398530621,1.222938220080036
Sam Merrill,merrisa01,2022,120,58,-1.141325732420882,-.0968845225918235,-1.238210255012706,-7.122393267537631,-3.916640082949356,-11.03903335048699,-2.449341414464188,-.8904031125121623,-3.339744526976351,-.0175733698353983,-.0175733698353983,0,-.8635735236777382,-2.330854012081085,-3.194427535758824,.6984459809698109
Chimezie Metu,metuch01,2022,2705,1279,-3.619912455645944,.1187437640887688,-3.501168691557175,-1.414215000157574,-.3994137053586345,-1.813628705516209,-3.353216868545795,.0785002201428238,-3.274716648402971,-.3426198915104254,-.3426198915104254,0,-2.105478602946039,-.6527758704550546,-2.758254473401093,.0637417117658231
Khris Middleton,middlkh01,2022,4741,2213,2.149533862014676,-.916001399946181,1.233532462068496,.6977620643612099,.6083160493803029,1.306078113741513,1.939806883140455,-.6773022784588273,1.262504604681628,4.59862528530634,4.640292066191867,-.0416667808855272,2.1491957054687,-.7145122909424055,1.434683414526294,1.659321356634932
CJ Miles,milescj01,2022,5,2,-3.580868040093777,-48.1399016499398,-51.72076969003358,-26.36799704564312,-75.09675474807345,-101.4647517937166,-8.568820860525697,-56.93297932108711,-65.50180018161281,-.0652021409746114,-.0652021409746114,0,-8.2366505423928,-34.36461927620012,-42.60126981859293,1.827584352901847
Paul Millsap,millspa01,2022,791,382,-1.68828410902425,1.751127235775227,.0628431267509777,-3.804526860735615,-1.133590277413556,-4.938117138149171,-2.257145460051019,1.250512065116327,-1.006633394934691,.3269207780075811,.3995005321516923,-.0725797541441113,-2.081882749066436,1.510790256781642,-.571092492284794,-.0850507588537712
Patty Mills,millspa02,2022,5066,2418,-.0395770951086075,-1.993544651907343,-2.03312174701595,1.419149357493287,-.5815628969282616,.8375864605650251,.2351198676620052,-1.803361877903858,-1.568242010241852,1.45761270576152,1.354738499847806,.1028742059137141,.976380372686373,-1.664895867024175,-.6885154943378019,-.2507835810396584
Shake Milton,miltosh01,2022,2730,1337,-.3323681234600303,-1.196785596404879,-1.529153719864909,-.9414990297268903,-.4380557151518851,-1.379554744878775,-.5012611448828204,-1.116630445710429,-1.61789159059325,.7919561948012354,.2695993892345284,.5223568055667069,-.9215488970052833,-1.282516307197188,-2.204065204202472,-1.049987170339587
Davion Mitchell,mitchda01,2022,4362,2076,-.8536894455402986,-.1919297896386664,-1.045619235178965,-4.400251676596504,2.466239394224037,-1.934012282372467,-1.617747742832835,.3993783458892686,-1.218369396943566,1.611579480345783,1.611579480345783,0,-1.833047142657223,-.3288270849649916,-2.161874227622215,-.6587071601902514
Donovan Mitchell,mitchdo01,2022,5105,2495,4.569424419388835,-2.532999547353437,2.036424872035399,4.434883737487207,-2.629341169344272,1.805542568142935,4.714985365502893,-2.739111163653229,1.975874201849665,6.048709804232858,5.872863522285555,.1758462819473025,5.106212886502882,-1.998356896627154,3.107855989875729,.8746295918443749
Evan Mobley,mobleev01,2022,4735,2331,-2.47627923243812,1.471683590352966,-1.004595642085154,-2.982881252810317,2.058034749698057,-.9248465031122608,-2.728615168954001,1.642719100174865,-1.085896068779136,1.958899112466514,1.958899112466514,0,-2.817494815094236,1.735691281252441,-1.081803533841796,-1.019699794156711
Malik Monk,monkma01,2022,4530,2139,1.002214580614696,-1.064082988117462,-.0618684075027662,4.355288307637993,-1.754035254573919,2.601253053064074,1.78891269070625,-1.246031841648717,.5428808490575332,3.604540177960896,3.604540177960896,0,1.276711667423435,-1.415994824751618,-.1392831573281825,.3050164544524219
Greg Monroe,monrogr01,2022,431,202,-.4230355948466215,1.301191469927669,.8781558750810471,-1.47863917643981,.4618426901758853,-1.016796486263925,-.690497362197541,1.209889214761164,.5193918525636233,.3451385364342852,.281005986763114,.0641325496711712,-.7723092173221573,1.306137303376728,.5338280860545705,.7350301322688932
Moses Moody,moodymo01,2022,1398,667,-2.255944157480884,-1.528265845105238,-3.784210002586123,-3.835948469135292,-1.889977051666783,-5.725925520802075,-2.743433262029006,-1.746932322481555,-4.49036558451056,-.604590035700503,-.3447811939644809,-.2598088417360221,-2.255739411410686,-2.488192525478787,-4.743931936889473,-.3035711322374816
Matt Mooney,moonema01,2022,5,2,-34.43578653297056,21.90590644966912,-12.52988008330144,-34.55380671584182,-32.66529104246854,-67.21909775831035,-36.5737654256109,11.78540040446718,-24.78836502114372,-.0260445844318049,-.0260445844318049,0,-18.93685246527233,11.46566989609391,-7.471182569178413,15.81620034551475
Xavier Moon,moonxa01,2022,294,137,.2553225931118084,.1140420870359167,.3693646801477251,2.57860792142128,-4.048282776126816,-1.469674854705536,.7686264005469284,-.7744316578113439,-.0058052572644155,.1905817235400797,.1905817235400797,0,-1.008296944491569,-.844909969200493,-1.853206913692062,-.6414556388586073
Ja Morant,moranja01,2022,4714,2227,5.213334164407573,-.46943380116546,4.743900363242114,2.718531298616431,-2.977756772963084,-.259225474346653,4.964900021931022,-1.066086407448498,3.898813614482525,7.658464897822356,5.638739014482534,2.019725883339822,5.059177804912261,-.3335584006963102,4.725619404215951,.6788230389325001
Juwan Morgan,morgaju01,2022,83,39,-1.575255139137756,-14.08003452238773,-15.65528966152549,-1.911471072701975,-18.15064816285372,-20.06211923555569,-1.737085785172707,-15.80096311155167,-17.53804889672438,-.289857456965944,-.2296829437849437,-.0601745131810003,-2.398048249038557,-13.94926209136049,-16.34731034039904,-1.117950870154394
Jaylen Morris,morrija01,2022,35,16,-13.73377907157801,2.007752012559583,-11.72602705901842,2.620987805833533,8.474402040830732,11.09538984666426,-11.09223071775356,3.557246075459737,-7.534984642293823,-.0390468559112327,-.0390468559112327,0,-8.55426845331248,-2.610492102430665,-11.16476055574315,-.0356652331396737
Markieff Morris,morrima02,2022,622,301,-1.9871445038936,-1.50681116758941,-3.49395567148301,1.597804124680326,-2.078785772601925,-.4809816479215983,-1.393372471937099,-1.763183057673278,-3.156555529610377,-.0634350961253842,-.0493350307249925,-.0141000654003917,-1.698392598200566,-2.368087842971573,-4.066480441172139,-.1920442426982628
Marcus Morris Sr.,morrima03,2022,3186,1564,-.1358654944266922,-3.674483572809011,-3.810349067235704,.1826845096993202,-3.347535856557172,-3.164851346857852,-.0524843135552994,-3.861337558193287,-3.913821871748586,-.9230740170869155,-.9230740170869155,0,-.1606983334152692,-3.419023115833168,-3.579721449248437,-.6031243894475493
Monte Morris,morrimo01,2022,4915,2395,1.030684474951912,-1.941547638185591,-.9108631632336787,2.934714187354742,-1.843374501519262,1.09133968583548,1.464620656422439,-2.022173596776581,-.5575529403541415,2.626235193541661,2.833884125712378,-.2076489321707173,1.450187741469542,-2.102650110342406,-.652462368872864,-1.424395375679848
Emmanuel Mudiay,mudiaem01,2022,26,11,-3.641059734884335,.4755238894394864,-3.165535845444849,-13.43668618974097,7.959117271860392,-5.477568917880574,-5.849359988878732,2.15664726477057,-3.692712724108162,-.0053829773872694,-.0053829773872694,0,-3.251747304123453,.2293238673528105,-3.022423436770642,1.744340436784328
Mychal Mulder,muldemy01,2022,504,239,-6.500674441868286,-3.041548148517115,-9.542222590385402,-3.013694785443404,-2.293378157099669,-5.307072942543074,-6.082468163322015,-3.032979315984979,-9.115447479306994,-.7745702879101433,-.7745702879101433,0,-5.249861694659498,-3.870788496613043,-9.120650191272539,-.2148172189587325
Ade Murkey,murkead01,2022,2,1,-8.113460069272202,-10.02622522170516,-18.13968529097736,-66.35465759307027,23.70423181069602,-42.65042578237426,-20.70909462006586,-3.572010907061464,-24.28110552712733,-.0106084144113117,-.0106084144113117,0,-18.58232903405261,-7.675151863111325,-26.25748089716393,-3.429773430410314
Trey Murphy III,murphtr02,2022,2057,984,.368047437489363,-.752921901823759,-.384874464334396,-.6740356132865211,-.06205732801264,-.7360929412991613,.1628219776204813,-.6337447378652787,-.4709227602447974,1.148620062300872,.9658221685732321,.1827978937276395,-.6206579257381252,-1.542944970492246,-2.163602896230371,-.1821530566450931
Dejounte Murray,murrade01,2022,5009,2366,3.085345780032735,-.1769661239178482,2.908379656114886,2.103809776163254,.4768257429927357,2.580635519155989,3.055208388394266,-.0529792199712505,3.002229168423015,6.973877770647309,6.973877770647309,0,3.204537355619502,1.231399990960545,4.435937346580047,.4345205571245802
